,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE
0,50,6,1,California,Alameda County,1,0,1510271,740573,769698,400793,398814,93553,105762
1,50,6,1,California,Alameda County,1,1,97652,50259,47393,24349,22770,6082,6024
2,50,6,1,California,Alameda County,1,2,94546,48145,46401,23285,22400,6309,6079
3,50,6,1,California,Alameda County,1,3,91070,46403,44667,22735,21919,6638,6468
4,50,6,1,California,Alameda County,1,4,100394,51445,48949,25363,24069,7793,7504
5,50,6,1,California,Alameda County,1,5,107049,54515,52534,28580,26166,6991,7448
6,50,6,1,California,Alameda County,1,6,113597,56185,57412,31293,29169,6456,7658
7,50,6,1,California,Alameda County,1,7,114607,56256,58351,30464,28469,6522,7552
8,50,6,1,California,Alameda County,1,8,115275,57062,58213,30073,28152,6264,7377
9,50,6,1,California,Alameda County,1,9,112216,55959,56257,31096,28693,6499,7385
10,50,6,1,California,Alameda County,1,10,114111,56168,57943,31382,30386,7135,8225
11,50,6,1,California,Alameda County,1,11,108506,53431,55075,30567,29780,7087,7968
12,50,6,1,California,Alameda County,1,12,94648,45580,49068,26436,26905,6111,7250
13,50,6,1,California,Alameda County,1,13,78854,37509,41345,22405,23617,4926,5854
14,50,6,1,California,Alameda County,1,14,52663,24568,28095,14906,16354,3147,3865
15,50,6,1,California,Alameda County,1,15,37774,17060,20714,9592,11311,2252,2811
16,50,6,1,California,Alameda County,1,16,29185,12617,16568,7284,9305,1444,2147
17,50,6,1,California,Alameda County,1,17,23391,9144,14247,5612,8579,962,1846
18,50,6,1,California,Alameda County,1,18,24733,8267,16466,5371,10770,935,2301
19,50,6,1,California,Alameda County,2,0,1510261,740570,769691,400792,398814,93553,105762
20,50,6,1,California,Alameda County,2,1,97652,50259,47393,24349,22770,6082,6024
21,50,6,1,California,Alameda County,2,2,94546,48145,46401,23285,22400,6309,6079
22,50,6,1,California,Alameda County,2,3,91070,46403,44667,22735,21919,6638,6468
23,50,6,1,California,Alameda County,2,4,100394,51445,48949,25363,24069,7793,7504
24,50,6,1,California,Alameda County,2,5,107047,54515,52532,28580,26166,6991,7448
25,50,6,1,California,Alameda County,2,6,113596,56185,57411,31293,29169,6456,7658
26,50,6,1,California,Alameda County,2,7,114607,56256,58351,30464,28469,6522,7552
27,50,6,1,California,Alameda County,2,8,115273,57061,58212,30073,28152,6264,7377
28,50,6,1,California,Alameda County,2,9,112216,55959,56257,31096,28693,6499,7385
29,50,6,1,California,Alameda County,2,10,114110,56168,57942,31382,30386,7135,8225
30,50,6,1,California,Alameda County,2,11,108502,53429,55073,30566,29780,7087,7968
